node	verdict	shot	note
5481-53339	frame-defect	-	Airdrop `Token overveiw` Price tile at 1440. The frame prints $0.05542. SKAI is unlaunched (Casey, 2026-08-13), the chain registry holds only BTC-USD and ETH-USD and skai_getMarketStats("SKAI-USD") answers `market not found`, so there is no live price to read. If this tile is ever built it renders the unavailable glyph, never the figure drawn. Recorded so the number is not copied out of the frame.
5525-11329	match	-	Account overview title row at 1440 after 72c6ec71d. Read live: a 24px icons/action at x=0 with the title at x=34, Manrope LIGHT 32/36 at -4% in Core/White - the same cut and ladder Account.tsx already carries for "Account settings" off the sibling boards (20/24 at 375, 24/28 at 768). The right cluster is two 140x34 bordered controls 8 apart (#123F3C border, radius 8, px 16 py 8, Manrope Regular 14/18) then a 36x36 Sky Blue 300 button 8 further on. Built: the title and the period control match. The "Trade" dropdown and the 36px button are deliberately absent - neither has a destination on an account surface, which is the same call AccountOverviewCard recorded against the same "Trade" control on 5518:102068.
5525-11349	match	-	Account overview stat row at 1440 after 72c6ec71d. Read live: four equal cards in a 1202 row, 16 apart, 113 tall - Green Coal 200 #122524, radius 16 (Figma rounded-2xl, which is 16px here and NOT this repo's rounded-2xl), padding 16, shadow 0 10 80 rgba(0,0,0,.25), each a column that pins its label to the top and its figure block to the bottom. Label Manrope Regular 14/18 at -4% Core/White; figure Mulish LIGHT 32/38 at -4%, white on three cards and App/Green 300 #17F9B4 on Profit factor; the volume delta Mulish Regular 14/18 at -4% in #17F9B4, 4 below the figure. The "24H" control on the Win rate card is opacity 0 in the frame and is not drawn. PerformanceOverview.tsx ships those exact values.
11875-87094	match	-	Account overview stat row at 375 after 72c6ec71d. Read live and it is a different card, not a scaled one: two rows of two, 8 apart in both axes, cards 167.5 wide and 90 tall at padding 12 and radius 12 (Figma rounded-xl), same fill and shadow. Label Manrope Regular 12/14 at -4%; figure Mulish Light 20/24 at -4%; delta Mulish Regular 12/14 at -4% in #17F9B4. This board is what pins the small end of the ladder - the 768 rungs between it and 5525-11349 are derived from measured glyph widths, not read, and the status row says so.
5525-11671	match	-	Best trade / Worst trade pair at 1440 after 72c6ec71d. Read live: two equal cards 16 apart, Green Coal 200 #122524 at radius 8 (Figma rounded-lg) and padding 16, a 12 gap between the two lines. Label Manrope Regular 14/18 at -4% in Core/White at 64% OPACITY - not a muted token, the white one dimmed. Figure Mulish REGULAR 22/26 at -4%, App/Green 300 #17F9B4 on best and App/Red 300 #FF574A on worst. Both figures are signed in the frame, which formatCurrency does not do for positives, so the build signs them.
#			Lane earn-detail, wave 42, 2026-09-14. Appended. No browser and no build (wave rule), so column 3 stays `-`: each verdict is the new page source resolved against node data read live this run with get_design_context / get_screenshot.
10841-138986	match	-	Other opportunities table header at 1440: eight columns, Pool / Fee / APY / TVL / Risk / Volume (1W) / My position / Action, in that order. DETAIL_TABLE_COLUMNS carries the same eight in the same order and the oracle at src/pages/earn/__tests__/opportunityDetailBoard.figma.test.ts pins it. Body split measured 870 chart + 432 figure card on a 16px gap; the page uses lg:grid-cols-[minmax(0,1fr)_432px] gap-4.
11973-155655	match	-	The same table at 768 drops Volume (1W) and My position and keeps six columns. DETAIL_TABLE_FROM_1440 = hidden lg:table-cell carries exactly those two, so 768 renders six.
12004-397714	match	-	The same table at 375 keeps Pool, APY, TVL and the row control only - Fee, Risk, Volume (1W), My position and the Action button are all absent. DETAIL_TABLE_FROM_768 carries Fee, Risk and Action; DETAIL_TABLE_FROM_1440 the other two. No cell hinges on sm: (640), which is not a board.
11405-100880	match	-	The lending board changes three strings together: the tab reads Total market value, the headline Total lended (TVL), the CTA Lend. detailValueTabLabel, DETAIL_TVL_HEADLINE.lending and DETAIL_VERB.lending are those three and nothing else moves.
11405-100106	match	-	The save board reads Total value saved (TVL) over a Save CTA; DETAIL_TVL_HEADLINE.vault and DETAIL_VERB.vault match.
11135-77182	match	-	Update position at 1440: the figure card is headed My position value with the period yield beside the amount, and the CTA row splits into an outline Withdraw plus the primary verb. Built, and pinned by OpportunityDetail.figma.test.tsx. The held amount keeps its own asset unit rather than the frame's dollar figure - recorded divergence, not a miss.
5370-47867	match	-	Ways to earn ticket, 1440: six rows led by Buy tickets on the accented row, then Vault balance, Faucet claims, Hi-Lo gaming, Streak bonus, Referrals, every name sentence case. ENTRY_SOURCES is now that order and that casing; the panel heading and the purchase card read Ways to earn ticket and Buy lottery ticket as drawn.
5515-93883	match	-	Sample vault item at 1440: the stats panel is headed Vault overview over TVL, APY range, Share price, Shares outstanding, Active deposits, Available liquidity, Pending withdrawals - seven rows, that order, which YieldVaultDetail already carried and now heads correctly. Subline reads <symbol>, USD denominated with a SKAI Chain chip.
# Lane governance-handoffs, wave 42, 2026-09-14. Appended below wave 41's rows; nothing above was edited. No browser
# and no build ran, so column 3 is `-` on every line: each verdict is component source resolved against node data read
# live this run with get_design_context / get_metadata on 3sSzw1KewMtUbeLAv7uW0r.
5515-96176	match	-	Gauge voting overview panel at 1440, read live. Frame: #122524 card, 16px inset, 24px top radius over 8px bottom, shadow 0 10px 80px rgba(0,0,0,.25); Manrope Regular 18/24 -4% heading 24px above a 2x2 grid at an 8px gutter; tiles #001615 on an 8px radius at 10px padding, centred, label Mulish Regular 12/16 -4% #95A09F over value Mulish Regular 22/26 -4% white, `Voting ends in` value #17F9B4. VotingPowerDisplay.tsx now ships exactly that, with the frame's four labels (`Staked SKAI`, `Epoch`, `Voting ends in`, `Weekly emissions (SKAI)`). Commit 910be4e5a.
5515-96199	partial	-	Bribe rewards panel at 1440, read live. Heading, standfirst, card radii and the claim row's geometry match after 910be4e5a (#001615 row on a 12px radius at 12px padding, 36px mark, amount Mulish 14/16 white beside symbol Manrope Bold 14/16 #95A09F, delta Mulish 11/14). The one gap is the claim affordance: the frame draws a single 335x42 card-level CTA at 5515:96221, and bribeVaultService exposes only claimBribes(epochId, gauge) with no batch entrypoint, so the per-row control stays and this is not a whole-frame match.
5492-80292	match	-	Insurance fund card at 1440, read live. Frame: #122524 on a 16px radius at a 16px inset, 24px between blocks; header a 34px white tile (8px radius, 1px #123F3C) 8px from Mulish 14/18 -4% over Mulish 11/14 at 64%, state word at the far end in Manrope Bold 14/18 #95A09F; four stats as two even rows 12px apart, label Mulish 14/18 #95A09F over value Mulish 14/18 white at a 4px gap; coverage block BELOW the stats at a 10px gap, then an 8px bar on a 6px radius, track #123F3C, fill #56C7F3. InsuranceFundHealth.tsx now ships that order and that ramp. Commit 24e3efd2b.
5504-92051	match	-	Vault card on the Yield vaults board at 1440, read from the board's metadata. Frame: 395.33x248 with a 16px inset; header 34 tall — a 32px chip, name 18-tall over symbol 14-tall at y=20, product word right-aligned at y=8; rule at y=46; stats at y=58 and y=110, two even 40-tall rows; CTA at y=174, full width, 42 tall. VaultCard.tsx already draws that (chip p-1 + a 24px glyph = 32, name Mulish 14/18 over symbol 11/14 at 64%, product word Manrope Bold 14/18, gap-3 inside and gap-6 to the CTA), so it needed no change this pass.
5371-64387	match	-	The collective card, right half of Frame 604 on the Proposals board at 1440, read live. Frame: #0F3451, 32px padding, contents centred, a 475 measure, headline Manrope Regular 24/28 -4% white 13px above a paragraph at Manrope Regular 14/18 -4% white at 64%, band shadow 0 4px 6px rgba(0,0,0,.24). GovernancePageHead.tsx now ships that, including the paragraph 5371:64391 the card had never drawn. The card is a match; the band's LEFT half is not — see the status row's Casey decision. Commit 5c3ea08b4.
5385-74600	not-wired	-	Delegates table at 1440, read live. The head is built to the frame — 32px inset, 6px above and below, cells Manrope Regular 12/16 -4% #95A09F, widths S/N 120, User 500, Voting power 100, 7D change 150 centred, Number of delegators 200, Action 179.14 right, closed by a 1px rule. NO ROWS EXIST TO DRAW: no delegate registry, no per-delegate power read, no delegator count and no seven-day series, so the body is the explicit unavailable state and the per-row Delegate/Remove controls are absent. Not a defect in the frame and not an empty list — the source does not exist. Commit fcd96c2ec.
5385-74567	not-wired	-	Off-chain delegation card at 1440, read live. Geometry, copy and type are built to the frame (#03383E, 32px padding, 8px top-right over 24px bottom-right, title Manrope Regular 24/28 -4%, paragraph 16/22 at 64%, `Wallet address` label 8px above a #001615 field on a 16px radius with a 1px #123F3C border and 22/16 padding, placeholder `0x ...`, DELEGATE in #56C7F3). The field is INERT: partial and expiring delegation needs a share and an expiry, snapshotService writes none and delegateVote takes an address only, so wiring it would silently delegate full power with no expiry. Commit fcd96c2ec.
5481-53403	match	-	Airdrop snapshot table head at 1440, read live. Frame: 28 tall, the cell row inset 32 and 6 from the top, Rank 120, User 362, Points accumulated 100, Reward 150, Wallet address 200, Decision 179.14, closed by a 1px rule at y=28. AirdropSnapshotList.tsx ships that head verbatim. The body has no source and draws the unavailable state; the head itself is a match. Commit a4dee9d2b.
5481-53312	frame-defect	-	The Airdrop board's `Price $0.05542` tile. SKAI is unlaunched, the chain registry holds no SKAI-USD market and there is no listing, so the figure the frame draws cannot be sourced at any time. It is built nowhere as a number and must always render the unavailable glyph. Recorded, not built.
5523-103268	match	-	Account dropdown-3 at 1440 — RE-KEYED FROM partial, on work that landed at HEAD after wave 43 measured it. f1a74eac1 (2026-09-14 22:40, an hour after that reading) adds the frame's Portfolio row on a briefcase under Account and its How it works row on the external-link glyph, which were two of wave 43's three reasons for holding it. The third, that the build draws rows the frame does not, is not a gap: AccountDropdown.tsx:476 records the standing rule that a working destination a frame leaves out is kept, and Casey's 2026-09-14 ruling 'match figma' (report 50a2c1f6) was executed as adding what was missing rather than deleting what was extra. Geometry re-resolved against the source and unchanged: panel 250 at md and 200 below it, p-2 with gap-2, items px-2 py-1.5 on a 4px corner at 14/18 = 30 tall on a 38 pitch, a 16px mark at x=8 with its label at x=32 via mr-2, and [role=separator]:my-0 for the frame's 0-tall rule inside the column gap. No browser: source-vs-node.
5534-92868	match	-	Rewards program board at 1440, read live (get_metadata) and compared to ReferralsSection.tsx. Frame 631 is 1318 wide at x=32 inside main 1382x1866; Frame 927 holds the 1318x66 page head (title, subtitle, and the 127x32 How-it-works pill at x=1191) over Frame 719, whose parts are the 28-tall Referrals heading at y=0, the 1318x253 invite band at y=60 and Frame 278 at y=345 -- a 32 seam the band's mb-6 lg:mb-8 already paid. The one divergence wave 43 left is closed by Casey's 2026-09-15 ruling: that slot held the four-rung referral-commission Card and now holds the six-rung POINTS band the frame draws (PointsTierBand), with the commission Card directly beneath it, which is both halves of the ruling. Below it, Referrals overview over Frame 270 5534:93015 is four tiles 113 tall on a 16 gap and the two tables under Frame 859 5534:93060 are unchanged. Frame 639 is hidden on this board; its unread shape is what YourPositionBand renders. No browser: source-vs-node. Commit a5fe8bc32.
5534-92972	match	-	Rewards-program tier band at 1440, built this pass from a live get_design_context read. 1318x180 on #001615 inside a 1px #123F3C edge at radius 12, padding 16, 16 between its three parts. Row 1 1286x68: identity 258x60 (name Mulish Light 32/38 at -4% in #56C7F3 over Current tier in Manrope 14/18 at white 64%, 4 apart) beside progress 1028x68 on a 10 gap -- a 22-tall caption (Manrope 16/22 left; right, the balance Mulish 16/16 with its ceiling in #878787 and Complete in Manrope 12/16 #E0E0E0 four further on), the 8px bar #123F3C at radius 6 filled #56C7F3, and the 18-tall Next tier line Mulish 14/18 at white 44%. A full-width rule, then row 2 1286x48: the rewards label Manrope 14/18 beside the Unlocked pill (Mulish 11/14 in #17F9B4, its own 1px edge, padding 8/2, fully rounded) over the perk sentence at white 64%, and the 365x48 strip -- 48px marks on a 50 pitch, the current rung a #123F3C pill running its glyph into the tier name with 20 of padding after. Glyphs are the frame's own exports, committed under src/components/rewards/assets/. Two deliberate divergences: the icons/tiers component has no Legend variant, so a tier with no glyph is drawn as its name alone when current and left off otherwise; and the 24px icons/graphical mark at 5534:92977 has no behaviour on the frame and is not built. No rate, threshold or commission value changed -- the ladder is tier_config and the balance getPointsBalance, with an unread balance drawing the reason in place of the bar. No browser: source-vs-node. Commit a5fe8bc32.
11667-309412	match	-	Airdrop snapshot head at 768, read live 2026-09-18 with get_metadata and built to in aa6eb108b. `Frame 1` is inset 16 inside the 708 table `Frame 634`, leaving a 676 track, and holds six columns at S/N 46, User 187, Points 119, Reward 128, Wallet address 162, Action 34 - 46+187+119+128+162+34 = 676 exactly. Head 28 tall with the cell row 6 from the top and one rule at y=28. AirdropSnapshotList.tsx now ships that track as its md step with the inset on the scroller rather than in the cells, so no column carries the inset twice, and the sum is pinned by AirdropSnapshotList.figma.test.tsx. What this line does NOT cover: the ten 46-tall body rows, which are not drawn at all because no source in this app enumerates other addresses' allocations, and the 200x32 search and 106x34 control above the table, which filter that same absent list.
11667-309679	match	-	Airdrop snapshot head at 375, read live 2026-09-18 and built to in aa6eb108b. `Frame 1` is inset 8 inside the 343 table, track 327, and only FOUR columns survive - S/N 36, User 124, Points 97, Reward 70, summing to 327 - with `Wallet address` and the per-row control dropped rather than wrapped. The component now drops exactly those two below md and gates the 1440 board's 1111px measure to lg, which is what had a 343-wide page scrolling sideways; both are pinned by AirdropSnapshotList.figma.test.tsx. NOT covered, and recorded on the status row: the board's own head and row tracks disagree with each other here (header Points at x=168 against a row at 178.5, header Reward at 265 against a row at 233.75), so only the head was taken, and the standfirst above it is a 464-wide box at x=-60.5 inside a 343 column.
11706-321925	match	-	Yield vaults head band at 375, read live 2026-09-18 and built to in 63d181351. `Frame 629` is 80 tall and is a ROW - `Frame 450` 201, gap 8, `Frame 711` at x=209 - with the title at a 24 line box, 8 to a standfirst that wraps to three 16 lines in the 201 measure, and the control pair at the board's 32 square. The page was `flex-col` below sm (640), a width the catalog draws at none of its three boards, so both controls sat under the standfirst on every phone; it is now a row on that 8 at every width, the title takes Manrope (h1 defaults to the display serif in index.css) at 20/24, the standfirst 14/16, and both controls carry `no-min-size` so the 44px floor stops stretching a 32 control. Pinned by YieldVaults.figma.test.tsx. NOT covered: the refresh control's 94 width, which is content-driven here and needs a rendered measure, and the `Farmers` tile and the 343 promo card, neither of which is built - see the status row.
5531-76408	partial	-	/leaderboard at 1440, read live 2026-09-18 and built to in 30c974490. main 1382 at x=58, Frame 631 1318 on a 32 gutter 24 down, Frame 927 opening a further 32 in (the only board that does), title 30/36 in a 172x36 box centred, subtitle 14/22 capped 462 eight under it, header block to podium 32, podium 959 centred with three 311.67 columns padded 16/24 and bars 56 wide at 152/95/72, podium to Frame 859 SIXTY-FOUR, heading 22/28, heading to table 32. All built. Remains, and it is one file: everything inside Frame 859 below the heading is src/components/dashboard/LeaderboardTable.tsx - a card list where the frame draws a 28-tall header inset 32 over seven columns (Rank 120, User 300, Points accumulated 100, Todays points 150, Win rate 200, Tier 200, Action 179.14) and ten 48-tall rows, plus the 200x34 search and 140x34 CTA at x=970, the 224x22 nav at x=547, the 1318x56 your-position band and the Show more link.
11847-357151	partial	-	/leaderboard at 768, read live 2026-09-18 and built to in 30c974490. THE READ SETTLED WHAT THE FILE HAD GUESSED: Frame 631 is 708 at x=30, not the 16 that shipped, and 76 down under the 52 header. No air above Frame 927, title 22/28 centred at x=289.5, subtitle 12/18 in the 462 box, header to podium 32, podium 708 full width on three 228 columns padded 16 with bars 50 wide at 120/80/60, podium to Frame 859 32, heading 18/22, heading to table 32. 11847:356462 is the only node drawing all three podium columns, so the per-place grounds (69,55,2 / 54,54,54 / 49,40,26 all at 0.8 under a 2.729 backdrop blur), digit gradients (E59664-F1B90A, B5B5B5-8B8B8B, BB6851-F17E0A) and labels (F7CB6E, FFFFFF, D18868) were read there. Remains: LeaderboardTable.tsx, whose tablet set is SIX columns - Todays points is dropped here.
11884-96408	partial	-	/leaderboard at 375, read live 2026-09-18 and built to in 30c974490. Frame 631 343 at x=16 and y=64 - 48 of header plus a SIXTEEN pad, the only board that does not open 24 down. Title 20/24 centred at x=117.5, subtitle 12/16 taking the full 343 rather than the 462 cap, header to podium 24, podium to Frame 859 24, heading to table 24. Podium 245 tall with NO vertical padding, columns 106/106/107, bars 50 wide at 120/80/60, and the type read first-hand off 11884:95898 - digit Mulish 24/40 at -0.96, label Manrope 12/14, name Mulish 14/16, address Mulish 12/14 at 64%. Remains: LeaderboardTable.tsx, a different shape again here - four columns inset 8 (Rank 30, User 134, Points 55, a 16px action at x=311) on a 40 pitch, and a Frame 636 that stacks into three rows of 106.
11946-148523	partial	-	/leaderboard at 375, collapsed state. Read live 2026-09-18 node for node against 11884-96408: Frame 631 through Frame 634 are identical, so every number built in 30c974490 holds here unchanged. The ONE difference is the your-position block - Frame 640 at 343x40 with both inner rows visible:false against the twins 343x110 with them shown, which is the whole of the 1089 vs 1019 height delta. Remains: the same LeaderboardTable.tsx, plus the your-position band itself, which is drawn nowhere in src in either its collapsed 40-tall or its open 110-tall form.
11902-124936	match	-	About panel at 768. Frame 641 is a single 708 column on a 32 rhythm (main 0..118, FAQ 150..344, items 376..528); heading 18/22, body 12/16 at 64%, tile grid 3 columns on a 12 gutter at 12+16+12+20+12 = 72, two link rows 8 apart at 16+40+16 = 72 so items is 152. Matched in 9bfbaf4c9, which named every leading: the design system's Sub-headline 1 300 and Paragraph 2 300 disagree with Tailwind's bundled line-height at every step this panel uses, and the tile and the link row each stood 4px tall on it. The frame's second link row, Document archive, now draws and refuses the press with the reason on it. Not this component and not claimed: Frame 630 and the Frame 604 band above the panel.
11917-140159	match	-	About panel at 375. Single 343 column on a 24 rhythm (main 0..164, FAQ 188..446, items 470..598); heading 18/22 - unchanged from 768, only the body steps down - body 12/14 at 64%, tile grid 2 columns on an 8 gutter at 12+16+12+16+12 = 68, two link rows 8 apart at 12+36+12 = 60 so items is 128. Matched in 9bfbaf4c9. The tile only reaches 68 because its label row is the taller of the 14 leading and the frame's 16px glyph slot; the glyph itself is a bare icon with nothing behind it and is deliberately not drawn, only its room kept.
5389-78508	match	-	About panel at 1440. Frame 641 is 1318 as two 627 columns on a 64 gutter and a 40 vertical gap, FAQ filling the right column across both rows. Heading 24/28, body 14/18 at 64% as three paragraphs with an empty middle one - the blank line IS the paragraph gap, so a 16px space-y was always close and never right. Tile 16+18+12+26+16 = 88, label 14/18, value 22/26. Link rows are the one board where the frame sets a height (80) over 44 of content, which is why their glyph sits at y=18 inside a 16 inset. Matched in 9bfbaf4c9 including the second row. Open and not claimed: Frame 604's left half is an image card and the Governance title sits outside the band.
11672-313668	match	-	Vault detail at 768, partial match on two blocks. The Vault overview card carries the frame's seven rows in the frame's order - TVL, APY range, Share price, Shares outstanding, Active deposits, Available liquidity, Pending withdrawals - and the header subline reads <symbol>, USD denominated beside a SKAI Chain chip, which is the standing sUSD-displays-as-USD mapping and the frame confirms it. Your position now carries the frame's own sentence word for word (11704:318138), closed in 310eb92b9 where it had been shipping a paraphrase. Not matched and not claimed: the whole Frame 883 Other yield vaults block, the 1px rules between overview rows, the 16 card padding, and the position block's avatar-amount-delta shape.
11707-323144	match	-	Vault detail at 375, same two blocks as the 768 board and the same closure: seven Vault overview rows in frame order, the USD-denominated subline with its chain chip, and the Your position standfirst now verbatim from 11707:323318 (310eb92b9). The board's own figures are recorded in the status row; what is NOT matched here is the same list as at 768, plus the Other yield vaults cards which stack at this width rather than sitting side by side.
11983-182767	match	-	Explorer dashboard at 768 after 54ef0b6d6. The board's five block boundaries are a flat 32 (104->136, 420->452, 1452->1484, 2050->2082, 2220->2252) and the page was shipping 24 at every width under lg, so `space-y-6` became `space-y-6 md:space-y-8`; the in-code comment that recorded 24 is corrected in place. Everything else on the block rhythm's axis was re-derived and already matched: hero title 22 tall, +8 to a 46-tall search row (CTA 125 + input 583), +8 to a 22-tall featured line; summary card 708x284 at p16 r12 with a 676x108 top half in two 322 columns split by a rule at x=338, a rule at y=140 and a 676x112 history slot at y=156, which is what the file's Rule / gap-4 already draw; two 708x492 list cards at gap 16; eight 350x126 ecosystem cards two-up on an 8 gutter and 8 row gap at p16.
11998-244576	match	-	Blocks table at 768 after e649f4b9d. The board draws SEVEN columns at this width - Block 60, Age 80, Transactions 100, Validator 120, Gas used 100, Gas limit 90, Reward 130 on a 680 track at a 16 inset - and the page was drawing four, Gas used and Gas limit behind lg: and Reward behind xl:. All three now show from md, and the 80px gas meter alone waits for lg because the board's Gas used column is 100 wide and carries one run with no bar. Alignment taken from the header boxes and confirmed in the body: Validator centres (86 inner at x=17 of 120), Gas used and Gas limit flush right (49 at x=51 of 100; 44 at x=46 of 90), Reward flush right. Headings are sentence case and the tx column is spelled Transactions. The total-found line moved into the card's 44-tall top band at x=16, y=16, 148 wide.
11997-242875	match	-	Token tracker at 768 after bc4d3a6ec. The search sits on the header row at 140x32 reading Search tokens (11998:243603/:243606), not in a band of its own below the summary; it carries no-min-size so the global 44px control floor does not stretch a 32-tall field. Title glyph removed - the frame hides the slot's icons/action and starts the heading at x=0 across 560. Summary wording taken verbatim: ERC-20 tokens / Total transfers (24H) / Chain ID over Deployed on Skai chain / Across all tokens / Skai chain (EVM / SKAI-BFT). Heading row dropped uppercase for the board's sentence case, renamed to 24H Change and Volume, and Holders moved lg->md because the board draws it at 768.
11998-252837	match	-	AI page tiles and header at 768 after e649f4b9d. Frame 274 is 318 wide - the card's whole 350-16-16 inner width - so the board has no right-hand glyph well, and the value sits 37 below the label's top, not 4. Tiles rebuilt to 350x113 two-up on an 8 gutter and an 8 row gap at p16, labels in sentence case, glyph tile removed. Title glyph removed on the same evidence (11998:252891 hides its icons/action and the text runs from x=0 across 446). Empty state took the board's two runs with no glyph above them and the full stop the frame writes.
11998-253933	match	-	Launchpad tiles, header and empty set at 768 after 1c3fe8b23. Same tile geometry as the AI board - 350x113, 8 gutter, 8 row gap, p16, 318 inner with no glyph well, value 37 below the label - and the same hidden title glyph (11998:253988). The empty state takes the frame's exact wording, No active projects yet over New token launches will appear here., and drops its glyph; the indexer-unavailable branch keeps its own marker, because an unreachable indexer is not the frame's empty set.
11998-256391	match	-	Gaming tiles and header at 768 after 220962a35. Tiles to the board's 350x113 on an 8 gutter and 8 row gap, p16, 318 inner, no glyph well, value 37 below the label, labels sentence case; title glyph removed (11998:256446 hidden, text from x=0 across 461). Page rhythm stepped to the board's 32 at md.
