# key	status	primaryFile	route	reason	bp
# Lane governance-explorer, wave 39, 2026-09-09. Owns src/pages/explorer/**, src/pages/defi/**, src/components/learn/**.
# Page "Governance and Utilities" (3sSzw1KewMtUbeLAv7uW0r, page 5210:118077) entered scope today; 428 of these 569
# frames had never been triaged. This file is a FIRST PASS over the whole assignment plus a measured build of the
# explorer dashboard cluster. Every row states which of the two it is. Sizes are read from live/ (harvest of 2026-09-09).
#
# NO BROWSER WAS USED. Column 6 is present only on rows this lane measured against the frame from source; a verdict
# there is a SOURCE verdict, never a render verdict. Rows marked FIRST PASS carry no column 6, so they read unknown at
# every width, which is the truth.
#
# Frames whose implementing file belongs to another lane (governance-account: src/components/governance, src/components/
# account, src/pages/account, src/components/notifications; and everything under src/pages/vault, src/pages/sports,
# src/pages/social, src/pages/rewards, src/pages/Airdrop.tsx, src/pages/GaugeVoting.tsx, src/pages/YieldVault*.tsx,
# src/pages/learn/index.tsx, src/components/home-redesign) are rowed with their carried status and NOT edited.
Account > Account settings > Security > 2FA > SMS [11301-127843]	not-started	src/services/security/twoFactorService.ts	/account?tab=security (would be the dialog's second tab)	TOTP-only service; no SMS rail exists (1440x900). Lane governance-account's file.
Earn > Sample opportunity - save [11405-100106]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (1440x1545). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - save > Save [11405-103640]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (1440x900). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - save > Save > Confirm save [11405-105088]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (1440x900). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - Lend [11405-100880]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (1440x1545). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - Lend > Lend [11405-101828]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (1440x900). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - Lend > Lend > Confirm lend [11405-102823]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (1440x900). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - liquidity [11973-155655]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (768x1330). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - liquidity > Add liquidity [11973-160234]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (768x1512). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - liquidity > Add liquidity > Confirm liquidity add 1VH [11974-165410]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (768x1024). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - Lend [11973-158164]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (768x1282). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - save [11973-158665]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (768x1282). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - Lend > Lend 1VH [11973-159235]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (768x1024). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - save > Save 1VH [11973-159567]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (768x1024). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - Lend > Lend > Confirm lend 1VH [11973-161769]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (768x1024). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - save > Save > Confirm save 1VH [11973-161912]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (768x1024). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - liquidity [12004-397714]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x1359). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - liquidity > Add liquidity [12004-402326]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x1450). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - liquidity > Add liquidity [12004-406527]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x1450). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - liquidity > Add liquidity > Confirm liquidity add 1VH [12004-405136]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x812). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - save [12004-398296]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x1320). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - Lend [12004-399859]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x1320). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - Lend > Lend 1VH [12004-396180]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x812). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - save > Save 1VH [12004-396474]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x812). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - Lend > Lend > Confirm lend 1VH [12004-396713]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x812). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Sample opportunity - save > Save > Confirm save 1VH [12004-396856]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x812). Nearest: no per-opportunity detail route; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard). FIRST PASS, NOT OPENED THIS WAVE.
Earn > My positions > Update position [12261-469767]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (768x1278). Nearest: no per-opportunity detail route exists; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard, an inline expansion). FIRST PASS, NOT OPENED THIS WAVE.
Earn > My positions > Update position [12261-470424]	not-started	no	/earn (App.tsx:1209) - no per-opportunity detail route; the only per-item page below /earn is /earn/vault/:vaultAddress (App.tsx:1759), which serves SKAI's own House/Trading vaults, not the external pools this frame draws	No implementing code (375x1232). Nearest: no per-opportunity detail route exists; nearest is src/pages/defi/Earn.tsx:211 (OpportunityCard, an inline expansion). FIRST PASS, NOT OPENED THIS WAVE.
Earn > Faucet [11193-90739]	not-started	no	/earn?tab=faucet	No implementing code (1440x900). Nearest: no nearest file recorded. FIRST PASS, NOT OPENED THIS WAVE.
Earn > Faucet > Winners > Share outcome [11198-91923]	not-started	no	/earn?tab=faucet	No implementing code (1440x900). Nearest: no nearest file recorded. FIRST PASS, NOT OPENED THIS WAVE.
Earn > My positions [5248-76804]	partial	src/pages/defi/Earn.tsx	/earn?tab=positions	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (1440x1545, 1440 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > My positions - empty [5278-80860]	partial	src/pages/defi/Earn.tsx	/earn?tab=positions	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (1440x1545, 1440 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > My positions > View details [5258-78625]	not-started	no	/earn?tab=positions	No implementing code (1440x900). Nearest: no nearest file recorded. FIRST PASS, NOT OPENED THIS WAVE.
Earn > My positions - on:hover [11134-109360]	not-started	no	/earn?tab=positions	No implementing code (1440x900). Nearest: no nearest file recorded. FIRST PASS, NOT OPENED THIS WAVE.
Earn > My positions [11978-168335]	partial	src/pages/defi/Earn.tsx	/earn?tab=positions	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (768x1164, 768 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > My positions - on:hover 1VH [11978-170038]	partial	src/pages/defi/Earn.tsx	/earn?tab=positions	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (768x1024, 768 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > My positions - empty [11978-168824]	partial	src/pages/defi/Earn.tsx	/earn?tab=positions	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (768x1114, 768 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > My positions [12003-386268]	partial	src/pages/defi/Earn.tsx	/earn?tab=positions	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (375x1234, 375 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > My positions - empty [12003-386958]	partial	src/pages/defi/Earn.tsx	/earn?tab=positions	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (375x1090, 375 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > My positions - on:hover 1VH [12003-387906]	partial	src/pages/defi/Earn.tsx	/earn?tab=positions	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (375x812, 375 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > Referral [5370-59619]	partial	src/pages/defi/Earn.tsx	/earn?tab=referral	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (1440x900, 1440 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > Referral [11980-177310]	partial	src/pages/defi/Earn.tsx	/earn?tab=referral	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (768x1024, 768 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > Referral [12004-394869]	partial	src/pages/defi/Earn.tsx	/earn?tab=referral	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/defi/Earn.tsx renders this surface (375x812, 375 board), so it is implemented; the measured work remaining is the whole frame. this lane's file.
Earn > Vaults [5259-80297]	partial	src/pages/vault/VaultSelection.tsx	/earn?tab=vaults	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/vault/VaultSelection.tsx renders this surface (1440x1834, 1440 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Earn > Vaults [11980-172605]	partial	src/pages/vault/VaultSelection.tsx	/earn?tab=vaults	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/vault/VaultSelection.tsx renders this surface (768x1270, 768 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Earn > Vaults - House [12004-388816]	partial	src/pages/vault/VaultSelection.tsx	/earn?tab=vaults	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/vault/VaultSelection.tsx renders this surface (375x1206, 375 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Earn > Vaults - ALT [12016-75585]	partial	src/pages/vault/VaultSelection.tsx	/earn?tab=vaults	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/vault/VaultSelection.tsx renders this surface (375x1636, 375 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Earn > Vaults - Trading [12004-389667]	partial	src/pages/vault/VaultSelection.tsx	/earn?tab=vaults	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/vault/VaultSelection.tsx renders this surface (375x1206, 375 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Gauge voting - empty 1VH [5515-95455]	partial	src/pages/GaugeVoting.tsx	/earn/gauges	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/GaugeVoting.tsx renders this surface (1440x900, 1440 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Gauge voting 1VH [5515-96095]	partial	src/pages/GaugeVoting.tsx	/earn/gauges	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/GaugeVoting.tsx renders this surface (1440x1354, 1440 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Gauge voting - empty 1VH [11705-319211]	partial	src/pages/GaugeVoting.tsx + src/components/defi/gauge/GaugeWeightsTable.tsx	/earn/gauges (App.tsx:1757)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/GaugeVoting.tsx + src/components/defi/gauge/GaugeWeightsTable.tsx renders this surface (768x1024, 768 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Gauge voting [11705-320003]	partial	src/pages/GaugeVoting.tsx + src/components/defi/gauge/GaugeWeightsTable.tsx	/earn/gauges (App.tsx:1757)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/GaugeVoting.tsx + src/components/defi/gauge/GaugeWeightsTable.tsx renders this surface (768x1408, 768 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Gauge voting 1VH [11705-321084]	partial	src/pages/GaugeVoting.tsx + src/components/defi/gauge/GaugeWeightsTable.tsx	/earn/gauges (App.tsx:1757)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/GaugeVoting.tsx + src/components/defi/gauge/GaugeWeightsTable.tsx renders this surface (768x1024, 768 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Gauge voting - empty 1VH [11707-323740]	partial	src/pages/GaugeVoting.tsx + src/components/defi/gauge/GaugeWeightsTable.tsx	/earn/gauges (App.tsx:1757)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/GaugeVoting.tsx + src/components/defi/gauge/GaugeWeightsTable.tsx renders this surface (375x812, 375 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
Gauge voting - empty [11707-324180]	partial	src/pages/GaugeVoting.tsx + src/components/defi/gauge/GaugeWeightsTable.tsx	/earn/gauges (App.tsx:1757)	FIRST PASS, NOT OPENED THIS WAVE: the route is live and src/pages/GaugeVoting.tsx + src/components/defi/gauge/GaugeWeightsTable.tsx renders this surface (375x902, 375 board), so it is implemented; the measured work remaining is the whole frame. NOT this lane's file (measure and row only).
